aisle_id,aisle
1,prepared_soups_salads
2,specialty_cheeses
3,energy_granola_bars
4,instant_foods
5,marinades_meat_preparation
6,other
7,packaged_meat
8,bakery_desserts
9,pasta_sauce
10,kitchen_supplies
11,cold_flu_allergy
12,fresh_pasta
13,prepared_meals
14,tofu_meat_alternatives
15,packaged_seafood
16,fresh_herbs
17,baking_ingredients
18,bulk_dried_fruits_vegetables
19,oils_vinegars
20,oral_hygiene
21,packaged_cheese
22,hair_care
23,popcorn_jerky
24,fresh_fruits
25,soap
26,coffee
27,beers_coolers
28,red_wines
29,honeys_syrups_nectars
30,latino_foods
31,refrigerated
32,packaged_produce
33,kosher_foods
34,frozen_meat_seafood
35,poultry_counter
36,butter
37,ice_cream_ice
38,frozen_meals
39,seafood_counter
40,dog_food_care
41,cat_food_care
42,frozen_vegan_vegetarian
43,buns_rolls
44,eye_ear_care
45,candy_chocolate
46,mint_gum
47,vitamins_supplements
48,breakfast_bars_pastries
49,packaged_poultry
50,fruit_vegetable_snacks
51,preserved_dips_spreads
52,frozen_breakfast
53,cream
54,paper_goods
55,shave_needs
56,diapers_wipes
57,granola
58,frozen_breads_doughs
59,canned_meals_beans
60,trash_bags_liners
61,cookies_cakes
62,white_wines
63,grains_rice_dried_goods
64,energy_sports_drinks
65,protein_meal_replacements
66,asian_foods
67,fresh_dips_tapenades
68,bulk_grains_rice_dried_goods
69,soup_broth_bouillon
70,digestion
71,refrigerated_pudding_desserts
72,condiments
73,facial_care
74,dish_detergents
75,laundry
76,indian_foods
77,soft_drinks
78,crackers
79,frozen_pizza
80,deodorants
81,canned_jarred_vegetables
82,baby_accessories
83,fresh_vegetables
84,milk
85,food_storage
86,eggs
87,more_household
88,spreads
89,salad_dressing_toppings
90,cocoa_drink_mixes
91,soy_lactosefree
92,baby_food_formula
93,breakfast_bakery
94,tea
95,canned_meat_seafood
96,lunch_meat
97,baking_supplies_decor
98,juice_nectars
99,canned_fruit_applesauce
100,missing
101,air_fresheners_candles
102,baby_bath_body_care
103,ice_cream_toppings
104,spices_seasonings
105,doughs_gelatins_bake_mixes
106,hot_dogs_bacon_sausage
107,chips_pretzels
108,other_creams_cheeses
109,skin_care
110,pickled_goods_olives
111,plates_bowls_cups_flatware
112,bread
113,frozen_juice
114,cleaning_products
115,water_seltzer_sparkling_water
116,frozen_produce
117,nuts_seeds_dried_fruit
118,first_aid
119,frozen_dessert
120,yogurt
121,cereal
122,meat_counter
123,packaged_vegetables_fruits
124,spirits
125,trail_mix_snack_mix
126,feminine_care
127,body_lotions_soap
128,tortillas_flat_bread
129,frozen_appetizers_sides
130,hot_cereal_pancake_mixes
131,dry_pasta
132,beauty
133,muscles_joints_pain_relief
134,specialty_wines_champagnes
